what expression would i use to say i love you if i were an italian,translate 
that statement was correct,yes
i think that's true,yes
that is accurate,yes
"yes, that is it",yes
correct,yes
the answer is yes,yes
all right,yes
it's indeed true,yes
that's a yes from me,yes
yes you are correct,yes
that's a definite yes,yes
yes that's it,yes
i vote yes,yes
that is correct,yes
"yes, that is true",yes
"yep, that's right",yes
yeah that's what i want,yes
you got it,yes
"yeah that's right, so true",yes
true is my response,yes
"yes, that's affirmative",yes
"yes, you got it",yes
absolutely!,yes
do that,yes
absolutely correct,yes
confirm,yes
"yes, i'd really like that alot",yes
"agreed, that's valid",yes
"affirmative, go ahead",yes
yes that's correct,yes
"yeah, that's how it is",yes
"yeah, that's right",yes
of course,yes
that's the truth,yes
exactly right,yes
"yes, that's accurate",yes
"yes, that is accurate",yes
"yes, that's what i want",yes
"yes, that is a fact",yes
"yes, that is correct",yes
"yes, that's confirmed",yes
indeed,yes
yes,yes
uh-huh,yes
"correct, that's true",yes
"yes, that's correct",yes
yeah,yes
yeap,yes
ok,yes
sure thing,yes
yes you are right,yes
yes you are,yes
yes i do like that,yes
yes that is correct,yes
yes i am,yes
i think it's true,yes
that would be yes,yes
that would be true,yes
i believe that's true,yes
uh huh,yes
"yep, that's true",yes
"yes, that is actually true",yes
"yes, that's it",yes
"yes, that is right",yes
"correct, it is affirmative",yes
the answer to that is a resounding yes,yes
i can confirm it is affirmative,yes
my response to that is yes,yes
i have to say affirmative on that one,yes
i would have to say yes as my answer,yes
the answer to that is affirmative,yes
"that is true, yes",yes
it is definitely affirmative,yes
is is very much true,yes
it is a true,yes
its a for sure true,yes
yes sir,yes
it's true,yes
can you give me some suggestions to go site seeing when i get there,travel_suggestion
can you get me any recommendations for the place i'm traveling to,travel_suggestion
please suggest some fun tourist activities in tokyo,travel_suggestion
i need help with some fun tourist things to do in tokyo,travel_suggestion
could you tell me what fun tourist things i could do in tokyo,travel_suggestion
what should i do for fun in tokyo,travel_suggestion
what do tourists do in tokyo,travel_suggestion
what sites are there to see when in evans,travel_suggestion
what can i do in evans,travel_suggestion
name some things i should do while in evans,travel_suggestion
"if i go to evans, what should i do",travel_suggestion
what is there to do in evans,travel_suggestion
what can i do in new orleans for fun,travel_suggestion
what do you recommend to do in vegas,travel_suggestion
is there anything fun to do in berlin,travel_suggestion
find something fun for me to do in dallas,travel_suggestion
what's fun to do in thailand,travel_suggestion
where should i book my next trip,travel_suggestion
what are some hot travel destinations,travel_suggestion
what's a good place to travel to,travel_suggestion
where should i travel to next,travel_suggestion
what's the best place to travel to this time of year,travel_suggestion
"when visiting chicago, what things can i do there",travel_suggestion
what are some good restaurants in chicago,travel_suggestion
what are some activities to do in chicago,travel_suggestion
"when travelling in chicago, what kinds of attractions should i see",travel_suggestion
what kind of entertainment is available in chicago,travel_suggestion
show me some things to do in gatlinburg,travel_suggestion
what are the main attractions in gatlinburg,travel_suggestion
name the five star attractions in gatlinburg,travel_suggestion
what are some of the attractions in gatlinburg,travel_suggestion
what are the most popular attractions in gatlinburg,travel_suggestion
where should i spend my time off,travel_suggestion
give me some awesome travel destinations,travel_suggestion
what's the best place to just get away from it all,travel_suggestion
what are some tourist sites to see in ann arbor,travel_suggestion
name some tourist things to do in chicago,travel_suggestion
"in austin, what are some tourist things to do",travel_suggestion
name some tourist things to do in seattle,travel_suggestion
"what are some fun, tourist sites to see in nyc",travel_suggestion
what experiences does kentucky offer,travel_suggestion
what's something interesting to do kentucky,travel_suggestion
what things are there to do in kentucky,travel_suggestion
what could i do for fun in kentucky,travel_suggestion
what does kentucky have to offer for things to do,travel_suggestion
what are the big tourist sites in sweden,travel_suggestion
what are some fun things to do in sweden,travel_suggestion
can you tell me about the best tourist attractions in sweden,travel_suggestion
what are some of sweden's best sights,travel_suggestion
what can i do in nashville,travel_suggestion
help me find things to do in nashville,travel_suggestion
can i do a lot in nashville,travel_suggestion
i need ideas for things to do in nashville,travel_suggestion
do you know of any activities in nashville,travel_suggestion
what are some touristy things to do in boston,travel_suggestion
what kinds of fun things are there in boston for tourists,travel_suggestion
are there any exciting tourist things to do in boston,travel_suggestion
what kinds of fun touristy things are there to do in boston,travel_suggestion
are there any fun tourist things to do in boston,travel_suggestion
what are some fun things i can partake in in atlanta,travel_suggestion
tell me things i can do in chicago,travel_suggestion
provide me with ideas of things we can do in charlotte,travel_suggestion
give me a list of things to do in orlando,travel_suggestion
where should i travel if i want to visit some history museums,travel_suggestion
i'd like some suggestions on where to go on my vacation this year,travel_suggestion
"are there any interesting things to do in atlanta, georgia",travel_suggestion
"is there anything fun to do in manassas, virginia",travel_suggestion
i want to travel this year but i need some suggestions,travel_suggestion
where should i travel if i want to go to a nice beach,travel_suggestion
give me some ideas on what i can do in seattle for fun,travel_suggestion
"what do you suggest for entertainment in tampa, florida",travel_suggestion
"what are some fun things to do in butte, montana",travel_suggestion
"in portland, what things are there to do",travel_suggestion
what things can i do in portland,travel_suggestion
what are some things i can do in portland,travel_suggestion
what are some things to do in portland,travel_suggestion
what things are there to do in portland,travel_suggestion
what is there to do besides drink in germany,travel_suggestion
what festivals are there to see in paris,travel_suggestion
what fun is there to do in england,travel_suggestion
where is the best winery in the south of france,travel_suggestion
what should i do in france,travel_suggestion
where do you suggest i plan my next vacation,travel_suggestion
what are your best travel suggestions,travel_suggestion
what are some suggestions for places to travel,travel_suggestion
what do people in sioux falls do for fun,travel_suggestion
what's there to do in seattle,travel_suggestion
are there any interesting activities to do in austin,travel_suggestion
where's a good place to go if i want to see mountains,travel_suggestion
what's a nice place to visit a beautiful beach,travel_suggestion
what should i do in bangor,travel_suggestion
what do tourists do for fun in seattle,travel_suggestion
are there any fun tourist activities in australia,travel_suggestion
what's a good use of my time in toronto,travel_suggestion
what can a tourist in denver do,travel_suggestion
what sort of things do people do in new york,travel_suggestion
tell me some things to see in tampa,travel_suggestion
is there anything neat to do in boston,travel_suggestion
what are some interesting things to do in dc,travel_suggestion
what's the funnest thing for a tourist to do in iceland,travel_suggestion
i need to add the chore of vacuuming to my task list,todo_list_update
put wash the counters down on my list of pending tasks,todo_list_update
take doing the dishes off my todo list,todo_list_update
blank out my todo list,todo_list_update
erase all items on my todo list,todo_list_update
delete everything on my todo list,todo_list_update
add clean bathroom to my to do list,todo_list_update
go ahead and take cleaning the bathroom off my todo list,todo_list_update
you can remove vacuuming off the todo list,todo_list_update
make my todo list blank,todo_list_update
please take shoveling the car off my todo list,todo_list_update
i'd like you to remove throw away dvds off my todo list,todo_list_update
put clean stovetop on my list of reminders,todo_list_update
nuke all items on my todo list,todo_list_update
will you put change the light bulbs on my list of things to do,todo_list_update
delete everything from the task list,todo_list_update
hurry up and just erase everything from the todo list,todo_list_update
can you kindly clear my agenda list,todo_list_update
hey just take off everything from my todo list,todo_list_update
i don't want to do anything today so just clear the todo list,todo_list_update
please include feeding the fish on my to do list,todo_list_update
please remove laundry from my list of chores,todo_list_update
please clear out my whole to do list,todo_list_update
i want you to clear out my to do list,todo_list_update
i want you to add cleaning the toilet to my to do list,todo_list_update
make sure my to do list is completely clear please,todo_list_update
please include laundry on my to do list,todo_list_update
can you please add take out recycling on my list of chores to complete,todo_list_update
please get rid off everything on my to do list,todo_list_update
please take feeding the fish off of my list of tasks to complete,todo_list_update
i need to add dusting the bookshelf to my to do list,todo_list_update
please put washing the dishes on my list of tasks to accomplish,todo_list_update
please be sure to put folding laundry on my to do list for me,todo_list_update
please put watering the plants on my to do list,todo_list_update
please erase everything on my to do list,todo_list_update
take watering the plants off of my to do list,todo_list_update
"i just finished taking out my recycling, so cross that off my to do list",todo_list_update
can you check washing the dishes off on my to do list,todo_list_update
i need laundry put on my list of tasks to complete,todo_list_update
please add watering the plants to my current to do list,todo_list_update
to my domestic task list please add paint kitchen,todo_list_update
add to my task list get carpet cleaned,todo_list_update
add clean the bathroom to my task list,todo_list_update
put clean refrigerator on my spring cleaning to do list,todo_list_update
on my big project task list please add paint shutters in spring,todo_list_update
delete my to do list,todo_list_update
"erase get a haircut from my to do list, please",todo_list_update
i need to include a stop at the pharmacy to the list of things to do,todo_list_update
please cross off schedule acupuncture appointment off of the to do list,todo_list_update
please put my acupuncture appointment on my to list,todo_list_update
"can you add a trip to the post office to my to do list, please",todo_list_update
please also list wash laundry on my to do list,todo_list_update
will you please put remember to drop off at the dry cleaner's to my current to do list,todo_list_update
would you kindly remove five mile run from my list of things to do,todo_list_update
"let's go ahead and scratch laundry off my to do list, please!",todo_list_update
can you delete lunch with david from my to do list,todo_list_update
put dishes on to do list,todo_list_update
"on my to do list, add dishes",todo_list_update
i need to do dishes put it on my to do list,todo_list_update
add dishes to my list,todo_list_update
cleaning needs to be on my to do list,todo_list_update
please add cleaning on my list to do,todo_list_update
cleaning needs to go on my list of things to do,todo_list_update
"on my to do list, add cleaning",todo_list_update
i need to do cleaning so add it to my to do list,todo_list_update
"on my to do list, i need cleaning added",todo_list_update
put cleaning on my to do list,todo_list_update
please put cleaning on my list of things to do,todo_list_update
add cleaning to my to do list,todo_list_update
"on my list of things to do, add cleaning",todo_list_update
can you place laundry on my to do list,todo_list_update
help remind me that i need to add laundry to my list of housework,todo_list_update
if you could remind me about doing laundry i would appreciate it,todo_list_update
please remind me to add laundry to my list of chores,todo_list_update
add laundry to my list of shit to do,todo_list_update
add change filters to my to do list,todo_list_update
add schedule appraiser to my to do list,todo_list_update
add mop bathroom to my to do list,todo_list_update
add do laundry to my to do list,todo_list_update
put buy dog food on my to do list,todo_list_update
"on my to do list, add exercising",todo_list_update
remove all items from todo list,todo_list_update
add grocery shopping to my list of things to do,todo_list_update
clear out my entire todo list,todo_list_update
remove laundry from my todo list,todo_list_update
put laundry on my to do list,todo_list_update
nix folding laundry from my todo list,todo_list_update
add washing dishes to my to do list,todo_list_update
cross volunteering off my todo list,todo_list_update
take everything off my todo list,todo_list_update
i no longer need to wash dishes; take it of my list,todo_list_update
delete everything on my to do list,todo_list_update
mark down cleaning the bathroom on my list of things to do,todo_list_update
throw mopping onto my to do list,todo_list_update
can you remind me to mop later by putting it on my to do list today,todo_list_update
will you make sure that mopping is on my to do list,todo_list_update
will you add mopping to my to do list please,todo_list_update
can you put mopping on my to do list,todo_list_update
place cleaning the backyard on my list of things to do,todo_list_update
please put the meeting with carla on my to do list,todo_list_update
tell me my reminders,reminder
tell me my current reminders list,reminder
please read my reminders,reminder
will you repeat my reminder list,reminder
check my reminders for mop and floor,reminder
read my reminder list to me,reminder
is mop the floor already in my reminders,reminder
read back the reminder list,reminder
what's on the reminder list,reminder
read my reminders to me,reminder
check my reminders for mop the floor,reminder
what reminders do i have,reminder
read what i added to the reminder list,reminder
can you list each item on my reminder list,reminder
can you tell me what reminders i've set,reminder
tell me what's on my reminder list,reminder
do i have any reminders to look up how to properly do a potato in my microwave,reminder
do i have a reminder for our neighbor's anniversary,reminder
tell my all my reminders,reminder
is respond to the professor's email on my list of reminders,reminder
read me my reminders list,reminder
go through all the reminders on my list and state what they are,reminder
is there a reminder for my aa meeting on my list,reminder
speak back to me what's on my reminder list,reminder
iterate the items on my reminder list,reminder
please go through my reminder list and tell me what's on it,reminder
did i add to my reminder list that i need to take the car in for an oil change,reminder
what did i want to remember again,reminder
what did i put on my list of reminders,reminder
can you tell me the reminders i have set up,reminder
what were the reminders that i made,reminder
i wanted to remember what again,reminder
can you remind me what i was trying to remember,reminder
i had a list of reminders what were they,reminder
remind me of what i asked you to remember,reminder
what reminders did i have,reminder
what are the thing i told you to help me remember,reminder
read my reminders please,reminder
what's on my reminder list today,reminder
do i have anything in my reminders,reminder
what did i ask to be reminded about,reminder
check if getting a light bulb is on my list of reminders,reminder
is buying a light bulb on my reminders list,reminder
confirm that buy a light bulb is on my list of reminders,reminder
please read my list of reminders,reminder
what is now on my reminder list,reminder
what things are currently on my reminder list,reminder
tell me what is showing up on my reminder list,reminder
what are the items on my reminder list,reminder
can you read my list back to me,reminder
can you repeat my list back to me,reminder
can you describe my list back to me,reminder
what is on my reminder list,reminder
is checking the mail on my list of reminder,reminder
i want to see my reminder list,reminder
what do i want to remember,reminder
let me know what is on my reminder list,reminder
can you please repeat my list back to me,reminder
tell me what is on my reminder list,reminder
let me see the reminder list please,reminder
can you read me my list of reminders,reminder
what do i have on my list of reminders,reminder
what did i list in my reminders,reminder
"i wanted to remember some things, what were they",reminder
can you remind me the things i was trying to remember,reminder
let me know what's on my list of reminders,reminder
can you tell me what things i was trying to remember,reminder
tell me what's on my reminders list please,reminder
what were those things i was trying to remember,reminder
do you know what things i wanted to remember,reminder
what are in my reminders list,reminder
my list of reminders is what,reminder
on my list of reminders is what,reminder
the lists of my reminders is what,reminder
reminders of my list is what,reminder
is there a reminder set to clean the gutters,reminder
what do i have on my reminder list,reminder
please read all the items on my reminder list,reminder
can you tell me all the reminders i have set on my reminder list,reminder
did i request a reminder for my niece's graduation,reminder
"can you read my reminder list, please",reminder
is the company party on my list of reminders,reminder
did i set up a reminder to clean the bathroom,reminder
what did i include on my list of things to remember,reminder
please look to see if paying bills is on my reminders list currently,reminder
please tell me everything on my list of reminders,reminder
tell me if flipping the mattress is on my list of reminders please,reminder
i need to know the content of my list of reminders,reminder
tell me everything i included on my list of things to remember for later,reminder
check to see if picking up glenn from the airport is on my list of reminders,reminder
go through my reminder list with me please,reminder
i would like to hear you read my reminder list to me,reminder
i want to hear what is on my reminders list,reminder
read my list of reminders to me,reminder
tell me what i had wanted to remember earlier,reminder
did i include cleaning the hamster cage on my list of reminders,reminder
walk me through the items on my reminder list,reminder
i need to know what it is that i wanted to remember before,reminder
please give me a rundown of my reminder list,reminder
i want to hear everything on my reminder list,reminder
"no, that's incorrect",no
that's not true,no
"that is not true, it's false",no
no way,no
not really,no
naw,no
nay,no
i must say no,no
i think not,no
that is actually false,no
i gotta say no,no
no thanks,no
no is the answer,no
i don't think so,no
it's a no,no
i think it is false,no
not true,no
that is not true,no
not at all,no
that turns out to be false,no
"please, no",no
not that,no
definitely not,no
i would have to say the answer to that is no,no
i say no to that question,no
"no, that is my response",no
"i don't believe that is possible, it is false",no
i would say that the statement is definitely false,no
i am afraid that that is not the case,no
"no, that information is wrong",no
that is a completely false statement,no
that would be a no,no
"i do not think that is true, so i would say it is a false statement",no
"incorrect, it is certainly a false statement",no
i do not believe that that is correct,no
the answer is definitely no,no
"sorry, that is not true",no
that's a negative,no
no!,no
that's not right,no
"no, don't do that",no
"i don't like that, no",no
no way!,no
"oh hell no, that'd be terrible!",no
that's inaccurate,no
that's not what i want!,no
that's completely false,no
that's incorrect!,no
that's totally wrong!,no
that's a hard no from me,no
no don't do that!,no
no that is not right,no
false for sure,no
that's definitely false,no
"nope, that's false",no
"no, that is not right",no
"no, that is inaccurate",no
"no, that can't be right",no
that is untrue,no
i disagree that is false,no
what you just said is false,no
that is erroneous,no
no that's wrong,no
that isn't the right answer,no
the information is wrong,no
that is not correct,no
that is not right,no
that is wrong,no
i'll pass,no
not that one,no
"that's not right, so no",no
the answer is false,no
"no, that is not right at all",no
that is overwhelmingly false,no
that's not right it's false,no
i say negative,no
negative for sure,no
nope,no
no thank you,no
that is not the case,no
no that isn't the case,no
no that isn't it,no
no that isn't correct,no
"that would be ""no",no
you are wrong,no
no that is wrong,no
that is false,no
negative,no
what you just said is wrong,no
that¡¯s actually wrong,no
that¡¯s not correct,no
that¡¯s incorrect,no
are you sure i don¡¯t think that¡¯s correct,no
that'd be a no,no
nada,no
the answer is no,no
i think that's false,no
i believe that to be false,no
it seems not,no
that would be false,no
does my calendar have anything for january 1st,calendar
what is there on january 1st on my calendar,calendar
are there any events on my calendar for january 1st,calendar
what do i have to do on january 1st,calendar
do i have anything scheduled on january 1st,calendar
what items do i have on my calendar for easter,calendar
"what do i have on my calendar today, the 3rd",calendar
"what've i got set for friday, the 13th, of next year",calendar
is my daughter's birthday on my calendar,calendar
did i had my wife and mine anniversary to my calendar,calendar
did i put an item on the calendar to get the dog neutered,calendar
"can you tell me what's on my calendar for march 05, 2019",calendar
does the calendar already have easter noted on it,calendar
do i have a note on the calendar for black friday,calendar
what's on my calendar for march 01,calendar
anything on the schedule for october 14th,calendar
what does my schedule look like for april 1,calendar
do i have anything to do march 2nd,calendar
what do i have on my calendar for february 8,calendar
how is my calendar looking for may 6th,calendar
what do i have planned on my calendar for next sunday,calendar
do i have anything on my calendar next sunday,calendar
show me my calendar for next sunday,calendar
is my calendar free next sunday,calendar
what is on my calendar next sunday,calendar
what do i have scheduled on march 2nd on my calendar,calendar
are there any events on my calendar for march 2nd,calendar
have i scheduled anything on march 2nd on my calendar,calendar
do i have anything on my calendar for march 2nd,calendar
what do i have going on march 2nd on my calendar,calendar
what's happening on may 3rd,calendar
what's in the books for april 30th,calendar
what do i have going on may 4th,calendar
what is on my calander for valentines day,calendar
on the 26th what is on the table for my calendar,calendar
when am i next having a meeting in december,calendar
what is currently on my calendar for friday the 1st,calendar
tell what is showing on my calendar for the 17th of march,calendar
i wanna know what is currently on my calendar for friday the 1st,calendar
let me know what is showing on my calendar for the 17th of march,calendar
please inform me what is showing on my calendar for the 17th of march,calendar
i must know what is currently on my calendar for friday the 1st,calendar
i need to know what is currently on my calendar for friday the 1st,calendar
what is showing on my calendar for the 17th of march,calendar
i gotta know what is currently on my calendar for friday the 1st,calendar
tell me what is showing on my calendar for the 17th of march,calendar
what do i have scheduled on 3/15,calendar
what do i have planned on 3/15,calendar
what do i have to do on march 2 that's on my calendar,calendar
tell me what is on my calendar for march 2,calendar
what do i have on my calendar for march 2,calendar
let me know my march 2 calendar,calendar
what is on march 2 calendar,calendar
what time is my haircut on wednesday,calendar
do i have any appointments on tuesday,calendar
can you see whether i have an event called amy's surprise party on my calendar,calendar
can you tell me what my may 1st will be like according to my calendar,calendar
tell me everything on my calendar for may 1,calendar
remind me of the date of the event called 'anniversary dinner,calendar
what is on my schedule for the day of march 5th,calendar
what do i have scheduled for february 28th,calendar
what events are on my calendar for april 1st,calendar
is there an event titled anniversary dinner on my calendar,calendar
tell me if there is an event called annual physical in my calendar,calendar
can you give me an overview of what march 23 will look like for me,calendar
tell me what my calendar looks like for march 12th,calendar
check my calendar to see if an event called final exams exists,calendar
what do i have on my calendar for march 11,calendar
does my calendar include an event called shana's baby shower,calendar
pull up my calendar and tell me what i have scheduled for march 30,calendar
do i have anything on my schedule for april 15,calendar
tell me any events scheduled on my calendar for april 15,calendar
tell me what my calendar looks like for april 13,calendar
what have i got planned for the date of april 23,calendar
tell me what is on my calendar for april 1,calendar
"the 21st, what is on my calendar",calendar
what's on the calendar for march 4th,calendar
what's on my calendar for tuesday,calendar
what's on my calendar for the 18th of march,calendar
i have what to do on wednesday,calendar
what do i have scheduled for march 2,calendar
do i have anything on my calendar for may 3,calendar
i want my schedule for march 2,calendar
tell me what is on my calendar for may 3,calendar
what's on my schedule for may 3,calendar
read me my schedule for march 2,calendar
do i have anything on my schedule for may 3,calendar
read my appointments for march 2,calendar
what is on my schedule for tomorrow,calendar
search my calendar for birthday party,calendar
do i have 30th birthday party on my calendar,calendar
search my calendar for birthday,calendar
check my calendar for 30th birthday party,calendar
check my calendar for saturday,calendar
tell me what's on the calendar for saturday,calendar
read my calendar events,calendar
what's on my agenda for tomorrow,calendar
what am i supposed to be doing today,calendar
what do i have planned for tomorrow,calendar
what do i have on my calendar for monday the 1st of march,calendar
what is 7 x 7,calculator
please add 456 and 781 for me,calculator
what is 8 factorial,calculator
can you tell me what 30% off 279 is,calculator
"can you tell me what 30% off 235 is, please",calculator
what is the sum of 3 plus 5,calculator
"could you tell me what 30% off 235 is, please",calculator
can you tell me what 30% off 235 is,calculator
"can you tell me what 30% off 279 is, please",calculator
what is the sum of 10 plus 5,calculator
what is 4 + 4,calculator
what is 60 percent off of 350 dollars,calculator
what is an 18 percent tip on 20 dollars,calculator
what is 25 percent of 6999,calculator
can you tell me what is 18 percent of $2500,calculator
what is 3/4 of 18,calculator
i need to know what is 85% of $1500,calculator
what is 20% of a thousand,calculator
what is 55 times 300,calculator
what is the square root of 1 million,calculator
will you help me with a math problem,calculator
can you help me solve a math problem,calculator
how to solve this math problem,calculator
what is 4 + 7,calculator
what is 4 x 4,calculator
what is 2 + 2,calculator
what is 20+ 5,calculator
what is 500 x 25,calculator
what is 2+2,calculator
what is 10 + 20,calculator
what is 22+ 6,calculator
what is the square root of 80,calculator
what is 5 x 4,calculator
what is 15% of 3143,calculator
what is the square root of 10294,calculator
how many square feet is a 13 by 74 room,calculator
what is three quarters of one sixth,calculator
what is 213 times 3,calculator
what is the square root of 144,calculator
what is the antilog of 365,calculator
what is 78 times 85,calculator
what is 250 times 118 times 9,calculator
what is 78 times 81 minus 5,calculator
what is 1785 minus 334 minus 87 plus 374 minus 400 plus 17,calculator
help me with math,calculator
i need you to help me with some math if you can,calculator
please help with my math,calculator
can you help me do math,calculator
can you do a math problem,calculator
what is 1 million twelve hundred divided by 400 thousand,calculator
what is the square root of 10500,calculator
what is 20 times 20 times 30,calculator
what is 10 to the 12th power,calculator
how much is 50 plus 756,calculator
what is 750 divided by 5,calculator
if i win 200000 how do i split it 7 ways,calculator
what is 900 times 8,calculator
can you tell me what 80 divided buy 4 is,calculator
560 divided by 3,calculator
what is 606 divided by 5,calculator
subtract 100 from 12,calculator
what is 005 percent of 1 percent,calculator
what is the square root of 31,calculator
what is six divided by 16,calculator
how many times can 12 go into 600,calculator
what is the square root of sixteen,calculator
what is 562 times 400,calculator
add twelve and twelve please,calculator
what is 10 + 10,calculator
what is the square root of 5,calculator
what is 1/2 times 5/8,calculator
what is 80980 + 098098 + 80980 + 1243,calculator
what is 13 times 45,calculator
what is 34 times 80908,calculator
what is 90908 divided by 30890,calculator
what is 38% of 389209,calculator
what is the square root of 66,calculator
what is 2/3 x 1/9,calculator
can you do algebra,calculator
what is 1 fifth times 2 fifths,calculator
what's 3 plus 3,calculator
what's ten times eight,calculator
i need to know what 75 plus 43 is,calculator
what do you get if you divide 3 by 2,calculator
what is the area of a 20 x 20 room,calculator
subtract 85 from 997,calculator
what is 20 + 20,calculator
what is the square root of 2784,calculator
how many times does 8 go into 2000,calculator
what is 35 times 23,calculator
what is 3 to the 6th power,calculator
what is 63 percent of 145,calculator
can you calculate 18 divided by 45,calculator
what is the square root of 104,calculator
what¡¯s the answer to 5-6=,calculator
what is the sum of 8 + 3,calculator
please provide the square root of 36,calculator
what does 6 x 1 equal,calculator
what does 2 + 2 equal,calculator
what is 10000 divided by 20,calculator
"you have been a big help, thank you so much",thank_you
"i appreciate your help, thank you",thank_you
"i really appreciate your help, thank you",thank_you
i am very grateful,thank_you
i appreciate the assistance,thank_you
i want to thank you for helping,thank_you
much obliged,thank_you
your help is appreciated,thank_you
gracias,thank_you
i appreciate that,thank_you
thanks so much!,thank_you
many thanks,thank_you
appreciate it,thank_you
thanks!,thank_you
i thank you,thank_you
thank you kindly,thank_you
thank you so very much,thank_you
thank you for helping me,thank_you
i'm grateful to you,thank_you
you did a good job thank you,thank_you
good looking out,thank_you
i wish you were here earlier,thank_you
it's so much easier with you around,thank_you
you've been a great help,thank_you
thanks for the help,thank_you
thanks please,thank_you
why thank you,thank_you
thanks for the answer,thank_you
thank you very much for the answer,thank_you
okay thanks,thank_you
thanks a lot,thank_you
thanks a lot for the answer,thank_you
thank you for the answer,thank_you
thank you a lot for that answer,thank_you
thanks for helping me!,thank_you
i'm so glad you helped me!,thank_you
i appreciate your help!,thank_you
i am thankful for your help!,thank_you
i have much gratitude for your help,thank_you
i appreciate your help,thank_you
i appreciate you helping me,thank_you
"awesome, thanks",thank_you
thank you so much,thank_you
thank you very much for the assistance,thank_you
i appreciate it,thank_you
thanks again!,thank_you
thanks for the info,thank_you
thanks for letting me know,thank_you
"that's all i need, thanks!",thank_you
"thanks, that's helpful",thank_you
thank you for the information,thank_you
thanks for answering my question,thank_you
your efforts don't go unnoticed,thank_you
i appreciate what you did,thank_you
you are so thoughtful and i appreciate your gesture,thank_you
you are so nice to think of me,thank_you
you were so kind to do that,thank_you
your answer pleased me,thank_you
i'm happy with your answer,thank_you
your answer was enjoyable,thank_you
your answer was good,thank_you
thanks for giving me assistance,thank_you
really great!,thank_you
appreciate the help,thank_you
i'm grateful for the answer you just gave me,thank_you
"that'll work, good job!",thank_you
"good answer, thanks for providing it",thank_you
i'm grateful for the assistance,thank_you
thanks for that!,thank_you
good job with assisting me,thank_you
"nice, excellent!",thank_you
i'm grateful,thank_you
i appreciate that answer!,thank_you
i would like to thank you,thank_you
i can not thank you enough,thank_you
i need to thank you,thank_you
i really thank you,thank_you
let me thank you,thank_you
thank you!,thank_you
thanks for the help!,thank_you
you're the best!,thank_you
i appreciate that answer,thank_you
your answer is appreciated,thank_you
i am thankful for the answer,thank_you
oh sweet thanks,thank_you
"oh, thanks",thank_you
merci beaucoup,thank_you
thanks again,thank_you
thanks,thank_you
thank you for answering that,thank_you
thank you,thank_you
thanks for that,thank_you
thank you for your time,thank_you
i appreciate the help,thank_you
thank ya!,thank_you
thanks for your response,thank_you
youre a doll,thank_you
thanks for your cooperation,thank_you
i owe you one!,thank_you
thanks for helping out,thank_you
will you roll a d20,roll_dice
will you roll a 12 sided dice,roll_dice
will you roll a 10 sided dice,roll_dice
i'd like you to roll dice,roll_dice
i'd like a 7 sided dice roll please,roll_dice
i need to roll a 10 sided die,roll_dice
please roll a 7 sided die,roll_dice
let's roll some dice,roll_dice
i want to roll some dice,roll_dice
"can you roll a fair, 6 sided die",roll_dice
i'd like to roll a dice and get the result,roll_dice
can you roll a dice,roll_dice
i want to roll a dice,roll_dice
help me roll a dice,roll_dice
roll a dice for me,roll_dice
go ahead and roll those dice,roll_dice
i need you to roll an 8 sided dice,roll_dice
i want you to roll dice,roll_dice
go ahead and roll that 9 sided dice,roll_dice
roll a 7 sided dice,roll_dice
roll the 10 sided dice on time,roll_dice
roll a pair of dice,roll_dice
please do a dice roll,roll_dice
please roll a 6 sided dice,roll_dice
roll a 6 sided die,roll_dice
roll a die,roll_dice
roll die,roll_dice
please roll a die now,roll_dice
roll this dice,roll_dice
i need a 10 sided die rolled,roll_dice
i would like a 10 sided die rolled,roll_dice
would you roll the dice,roll_dice
role a 10 sided die for me,roll_dice
could you role a ten sided die,roll_dice
can you roll a 10 sided die,roll_dice
the dice need to be rolled,roll_dice
i would like the dice to be rolled,roll_dice
toss a die would you,roll_dice
play vegas baby roll a dice for mama,roll_dice
find a virtual dice and roll it for me please,roll_dice
roll a dice and give me a number from 1 to 6,roll_dice
roll dice now,roll_dice
roll dice,roll_dice
roll the dice,roll_dice
roll dice please,roll_dice
go ahead and roll the dice,roll_dice
please roll dice,roll_dice
will you roll a 6 sided dice,roll_dice
will you roll a 3 sided dice,roll_dice
will you roll a 5 sided dice,roll_dice
will you roll a 2 sided dice,roll_dice
will you roll a 4 sided dice,roll_dice
please roll the dice,roll_dice
roll a dice,roll_dice
give me a random number between 1 and 6,roll_dice
i want you to roll a dice,roll_dice
"ai, please roll the dice",roll_dice
"roll that dice, ai",roll_dice
"ai, would you kindly roll the dice",roll_dice
"ai, go ahead and roll the dice",roll_dice
"please roll the dice, ai",roll_dice
could you roll a 6 sided dice,roll_dice
can you roll a 6 sided dice,roll_dice
i'd like you to roll a 6 sided dice,roll_dice
roll a 6 sided dice for me,roll_dice
could you roll the 8 sided dice,roll_dice
can you roll the 12 sided dice please,roll_dice
go ahead and roll the 6 sided dice for me,roll_dice
please roll the 10 sided dice,roll_dice
please roll the 5 sided dice,roll_dice
give the dice a roll,roll_dice
roll the dice for me,roll_dice
can you roll the dice,roll_dice
could you roll the dice please,roll_dice
i need you to roll dice now,roll_dice
provide a random roll of the dice,roll_dice
can you roll dice,roll_dice
throw the dice,roll_dice
roll the dice!,roll_dice
roll the die!,roll_dice
shoot the dice!,roll_dice
throw the dice!,roll_dice
roll them bones!,roll_dice
